date,home,away,ftr,open_src,close_src,q_open_H,q_open_D,q_open_A,q_close_H,q_close_D,q_close_A,model_H,model_D,model_A,rps_close,rps_model,alpha_close,clv_model
2020-08-28,T03,T04,H,PS,PSC,0.31050558071037676,0.31691201864849444,0.37258240064112896,0.389316199461423,0.29808322512994984,0.31260057540862735,0.40180507999189047,0.2676252213610129,0.3305696986470966,0.23532691199302272,0.23355674399357046,0.0017701679994522601,0.012565445092856509
2020-08-28,T03,T05,H,PS,PSC,0.4870681439001184,0.29039896960193085,0.22253288649795078,0.46145402227614235,0.3034257552384961,0.2351202224853615,0.400982084100923,0.2594291018443205,0.33958881405475655,0.17265664457205587,0.2370715130995948,-0.06441486852753892,-0.0245888978848412
2020-08-28,T03,T06,H,PS,PSC,0.6003995673106206,0.20526702171904382,0.19433341097033555,0.6871437516726755,0.1792658694424397,0.1335903788848849,0.7061580608953262,0.17653124143269455,0.11731069767197934,0.05786271072402781,0.05005244248254069,0.007810268241487117,0.017019330142690303
2020-08-29,T03,T07,A,PS,PSC,0.31927791629349,0.2297722615931196,0.4509498221133904,0.24517155612552005,0.25378189953783675,0.5010465443366431,0.6376624969051133,0.1930904816794437,0.16924702141544298,0.1545318214257072,0.5483819856931886,-0.39385016426748143,-0.36556747514118837
2020-08-29,T03,T08,H,PS,PSC,0.3882644848792032,0.30130110136307664,0.3104344137577201,0.4132024064861865,0.30941036527557453,0.277387228238239,0.4735191306266254,0.29099666661347084,0.23548420275990378,0.21063754507164778,0.16631745778280596,0.04432008728884182,-0.005394067891744125
2020-08-29,T03,T09,D,PS,PSC,0.3318001826702635,0.3197671337352775,0.348432683594459,0.38947102598296757,0.28510371715000987,0.3254252568670226,0.4358658474983848,0.2911570748979024,0.2729770776037128,0.12879463894359652,0.13224776095627433,-0.003453122012677806,0.00010311842969445983
2020-08-30,T03,T10,D,PS,PSC,0.4932506158113829,0.17208074781061977,0.3346686363779974,0.49471070044114285,0.23255530423597942,0.27273399532287773,0.5790577579865485,0.20607546574318453,0.214866776270267,0.15956125466787285,0.19073780931459253,-0.031176554646719673,0.0004142143238698992
2020-08-30,T03,T11,D,PS,PSC,0.37688488607696596,0.3474600901555976,0.27565502376743645,0.42238319153239695,0.2695318155911152,0.30808499287648783,0.6270272954965043,0.21619394520486654,0.15677875929862922,0.13666196166239955,0.20887140433243898,-0.07220944267003943,-0.08672837455117643
2020-08-30,T03,T12,D,PS,PSC,0.46369622132091864,0.2143186405475173,0.32198513813156415,0.4523206311406971,0.2639760826218841,0.28370328623741886,0.5088824311065069,0.2431833486755636,0.24793422021792957,0.14254075398871469,0.16021635312197074,-0.01767559913325606,0.0012703959070634596
2020-08-31,T03,T13,A,PS,PSC,0.47423886216708144,0.26190088977764014,0.26386024805527836,0.5533817870188026,0.2623318339645466,0.18428637901665074,0.7013076874532963,0.2060143597562892,0.09267795279041458,0.48581005683094525,0.6575328849168418,-0.17172282808589656,-0.039279116110003454
2020-08-31,T03,T14,A,PS,PSC,0.20796473205388843,0.3517807565846897,0.44025451136142174,0.21250182986121605,0.34424696573494806,0.4432512044038359,0.43993278719605505,0.30909738334130765,0.2509698294626373,0.17756312454607223,0.37729352681266015,-0.19973040226658792,-0.1344273760699839
